Path,id,name,mrp,manufacturer,countryOfOrigin,colours,baseColour,brand,articleType,subCategory,masterCategory,gender,Sustainable,Technology,Warranty,Body Shape ID,Body or Garment Size,Center Front Open,Closure,Fabric,Hemline,Knit or Woven,Length,Neck,Number of Pockets,Occasion,Pattern,Print or Pattern Type,Sleeve Length,Surface Styling,Type,Wash Care,Colour Family,Design Styling,Fabric 2,Fabric Purity,Main Trend,Ornamentation,Shape,Sleeve Styling,Slit Detail,Stitch,Technique,Weave Pattern,Weave Type,Add-Ons,Dial Colour,Dial Material,Dial Pattern,Dial Shape,Display,Features,Features 2,Features 3,Make,Movement,Multipack Set,Power Source,Scratch Resistance,Strap Closure,Strap Colour,Strap Material,Strap Style,Water Resistance,Collar,Lining Fabric,Fit,Hood,Dial Size in mm,Glass Material,Strap Width in mm,Watch Weight in g,Pocket,Technology Present,Brand Fit Name,Distress,Effects,Fabric 3,Fade,Reversible,Shade,Stretch,Type of Distress,Waist Rise,Waistband,Fabric Type,Lining,Transparency,taxMaterial,Character,Fastening and Back Detail,Heel Height,Heel Type,Toe Shape,Bottom Closure,Bottom Fabric,Bottom Pattern,Bottom Type,Dupatta,Dupatta Border,Dupatta Fabric,Dupatta Pattern,Pattern Coverage,Top Design Styling,Top Fabric,Top Hemline,Top Length,Top Pattern,Top Shape,Top Type,Insole,Micro Trend,Shoe Width,Fly Type,Type of Pleat,About the Brand,Benefits,Colour Shade Name,Finish,How-to-Apply,Ingredients Preference,Minimum Shelf Life in Months,Minimum Usable Period in Months,Net Weight,Special Features,Total Shelf Life in Months,Units Per Bundle,Compartment Closure,Handles,Laptop Size,Number of External Pockets,Number of Inner Pockets,Number of Main Compartments,Number of Mobile Pouch,Number of Zips,Size,Sling Strap,Tablet Sleeve,Trends,Collection Name,Activity Tracking,Activity Training,Altimeter,Barometer,Battery Capacity,Battery Life,Battery Type,Bluetooth,Bluetooth Version,Call Function,Caller ID,Case,Charging Type,Compatibility,Customisable Watch Face,Display Resolution,Dust Resistance,Flight Mode,GPS Tracking,Glass Type,Gyroscope,Heart Rate Monitor,Internal Memory,Microphone,Notifications,OS,Pedometer,Processor Name,Processor Speed,RAM,Screen Type,Sensor,Sleep Monitor,Voice Recognition,Water Resistance Depth,Wi-Fi,Wi-Fi Version,Formulation,Case Thickness in mm,Strap Length in mm
D:/Codes/Work/scrapping/Myntra_women_images/12792630.jpg,12792630,FOREVER 21 Women Olive Green Printed Open Front Jacket,2999,"Aditya Birla Fashion& Retail LimitedKh No. 118/110/1, Building 2,Divyashree Technolpolis,Yamlur Post, Off old airport road,Doddanekundi VillageBangalore- 5600037",India,0,Olive,FOREVER 21,Jackets,Topwear,Apparel,Women,Regular,NA,,424,To-Fit Denotes Body Measurements in,,Button,Cotton,Straight,,Regular,,NA,Casual,Printed,Camouflage,Long Sleeves,NA,Open Front Jacket,Dry Clean,,,,,,,,,,,,,Woven,NA,,,,,,NA,,,,,,,,,,,,,Hooded,Polyester,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:/Codes/Work/scrapping/Myntra_women_images/7782711.jpg,7782711,Tokyo Talkies Women Blue Super Skinny Fit High-Rise Clean Look Jeans,1899,"Prateek Apparels Pvt Ltd 113,Krishna Reddy industrial Area 7th Mile Hosur Road Kudlu Pin-560068",India,0,Blue,Tokyo Talkies,Jeans,Bottomwear,Apparel,Women,,,,,Garment Measurements in,,Button and Zip,Cotton,,,Regular,,5,Casual,,,,,,Machine Wash,,,Elastane,,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,Super Skinny Fit,,,,,,,,NA,Clean Look,Whiskers and Chevrons,NA,Light Fade,No,Medium,Stretchable,NA,High-Rise,With belt loops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:/Codes/Work/scrapping/Myntra_women_images/11679908.jpg,11679908,Carlton London Women Black Solid Victorian Crop Fitted Top,1390,"Epic Brands Pvt. Ltd., D-19 First Floor Okhla Phase-1, Delhi-110020",India,0,Black,Carlton London,Tops,Topwear,Apparel,Women,,,,424,Garment Measurements in,Yes,Button,Polyester,,,Crop,Sweetheart Neck,,Casual,Solid,Solid,Long Sleeves,Gathered or Pleated,Fitted,Machine Wash,,,,,Victorian,,,Cuffed Sleeves,,,,,Woven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crepe,NA,Opaque,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:/Codes/Work/scrapping/Myntra_women_images/10604584.jpg,10604584,SASSAFRAS Women Blue Acid Wash Denim Jacket,1799,"Falcon Apparels, 351/1, 1st Floor, Bijwasan, Delhi 110061",India,0,Blue,SASSAFRAS,Jackets,Topwear,Apparel,Women,,NA,,"44,33,33,424",To-Fit Denotes Body Measurements in,,Button,Cotton,Straight,,Regular,,2,Casual,Solid,Washed,Long Sleeves,NA,Denim Jacket,Machine Wash,,,,,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,Spread Collar,Unlined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:/Codes/Work/scrapping/Myntra_women_images/12309748.jpg,12309748,ZAPATOZ Women Black Solid Heeled Boots,999,"Sense Footwear - rz f 3 a gali no 4 veer nagar west sagar pur, delhi, 110046",India,0,Black,ZAPATOZ,Heels,Shoes,Footwear,Women,,,NA,,,,,,,,,,,Casual,Solid,,,,Heeled Boots,,,,,,,Buckles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lace-Ups,2 inches,Platform,Round Toe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:/Codes/Work/scrapping/Myntra_women_images/8529019.jpg,8529019,Varanga Mustard Marigold Cotton Straight Kurta,1699,"KESHVI FASHION Address-3043, New Sardar Traders Market Puna Khumbaria Road, Surat Gujarat-395002",India,0,Yellow,Varanga,Kurtas,Topwear,Apparel,Women,Regular,,,424,To-Fit Denotes Body Measurements in,,,Cotton,Straight,,Calf Length,Round Neck,,Daily,Printed,Floral,Three-Quarter Sleeves,,,Hand Wash,Bright,Regular,NA,Pure,Floral,Thread Work,Straight,Regular Sleeves,Side Slits,Ready to Wear,Screen Print,Regular,Machine Weave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:/Codes/Work/scrapping/Myntra_women_images/11043644.jpg,11043644,Deewa Women Charcoal Grey Sheen Effect Solid Hooded Puffer Jacket,2999,Sunshine Knitwear -165 sec.63 noida up -pin -201301,India,0,Charcoal,Deewa,Jackets,Topwear,Apparel,Women,,NA,,"3,33,424",Garment Measurements in,,Zip,Nylon,Straight,,Regular,,2,Casual,Solid,Solid,Long Sleeves,NA,Puffer Jacket,Hand Wash,,,,,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,Hooded,Faux Fur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:/Codes/Work/scrapping/Myntra_women_images/10841992.jpg,10841992,Libas Women Brown & Golden Printed Kurta with Trousers,3499,Libas Impex 239 Sant Nagar East Of Kailash New Delhi- 110065,India,0,Brown,Libas,Kurta Sets,Apparel Set,Apparel,Women,,,,"3,33,424",Garment Measurements in,,,,,,,Round Neck,,Festive,,Floral,Three-Quarter Sleeves,,,Dry Clean,,,,,,NA,,Regular Sleeves,Side Slits,Ready to Wear,NA,Regular,Knitted and Woven,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partially Elasticated,,,,,,,,,,Slip-On,Shantoon,Solid,Trousers,NA,NA,NA,NA,Small,Layered,Shantoon,Straight,Calf Length,Colourblocked,Straight,Kurta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:/Codes/Work/scrapping/Myntra_women_images/13189370.jpg,13189370,FASHOR Women Grey Printed Anarkali Kurta,1799,"FASHOR LIFESTYLE PVT. LTD., No. 61, Sector A, Vardhaman Nagar, Karni Vihar, Jaipur - 302395",India,0,Grey,FASHOR,Kurtas,Topwear,Apparel,Women,Regular,,,"44,33,33,424",Garment Measurements in,,,Cotton,Flared,,Knee Length,Shirt Collar,,Daily,Printed,Floral,Long Sleeves,,,Dry Clean,Earthy,Empire,NA,Pure,NA,NA,Anarkali,Flared Sleeves,Front Slit,Ready to Wear,Screen Print,Regular,Machine Weave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:/Codes/Work/scrapping/Myntra_women_images/11812038.jpg,11812038,ZAPATOZ Women White Sneakers,999,"Sense Footwear - rz f 3 a gali no 4 veer nagar west sagar pur, delhi",India,0,White,ZAPATOZ,Casual Shoes,Shoes,Footwear,Women,,Lightweight,NA,,,,,,,,,,,Everyday,Solid,,,,Sneakers,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round Toe,,,,,,,,,,,,,,,,,Comfort Insole,Basics,Regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
